nodeName	altName	symbol	color	geneModuleMembership	glycoType	logFC	padj
ENSG00000133103	COG6	COG6	turquoise	0.928181749760845	N-glycosylation	-0.0805355172807258	0.144070748209556
ENSG00000071537	SEL1L	SEL1L	turquoise	0.918716570759203	N-glycosylation	-0.0540614967412382	0.175289868646695
ENSG00000132912	DCTN4	DCTN4	turquoise	0.914985701679223	N-glycosylation	-0.0403348337727896	0.383038529768142
ENSG00000138768	USO1	USO1	turquoise	0.904393081422632	N-glycosylation	-0.0867523149082998	0.0471551100288573
ENSG00000153989	NUS1	NUS1	turquoise	0.896355217230481	N-glycosylation	-0.0432264842094901	0.365781007091604
ENSG00000119414	PPP6C	PPP6C	turquoise	0.894355599476322	N-glycosylation	-0.00842506784829126	0.845466308354291
ENSG00000119318	RAD23B	RAD23B	turquoise	0.892401185982533	N-glycosylation	-0.0509816660202351	0.215815933620128
ENSG00000000419	DPM1	DPM1	turquoise	0.891896435847524	N-glycosylation	-0.0693192904489241	0.188323145578099
ENSG00000265808	SEC22B	SEC22B	turquoise	0.883898064478016	N-glycosylation	-0.0232726554409149	0.507143580579719
ENSG00000138802	SEC24B	SEC24B	turquoise	0.882162017297426	N-glycosylation	-0.00672299126127422	0.902761890771027
ENSG00000116406	EDEM3	EDEM3	turquoise	0.872497125164787	N-glycosylation	-0.0515800864717675	0.316459692331711
ENSG00000157350	ST3GAL2	ST3GAL2	turquoise	0.866283102010144	O-glycosylation	0.0167052322513696	0.835139711565231
ENSG00000130175	PRKCSH	PRKCSH	turquoise	0.866105152778541	N-glycosylation	0.0277350196531071	0.506569965519458
ENSG00000129083	COPB1	COPB1	turquoise	0.855619299660705	N-glycosylation	0.0139158374649079	0.740566898596867
ENSG00000138069	RAB1A	RAB1A	turquoise	0.853603334416586	N-glycosylation	-0.0810813454473427	0.0529985500205266
ENSG00000213380	COG8	COG8	turquoise	0.849981095695696	N-glycosylation	0.0302709482209471	0.751587088870213
ENSG00000180398	MCFD2	MCFD2	turquoise	0.845951147867781	N-glycosylation	-0.0548129239907912	0.197593816972786
ENSG00000116489	CAPZA1	CAPZA1	turquoise	0.838443458729134	N-glycosylation	-0.0354682158723577	0.432733884988646
ENSG00000136152	COG3	COG3	turquoise	0.837178473465899	N-glycosylation	-0.0209652025973939	0.627842477213331
ENSG00000092108	SCFD1	SCFD1	turquoise	0.835649506596271	N-glycosylation	-0.0824093470823569	0.0173247704024961
ENSG00000142303	ADAMTS10	ADAMTS10	turquoise	0.835607556494772	O-glycosylation	0.0569163856044306	0.224868936329363
ENSG00000168374	ARF4	ARF4	turquoise	0.832870252994178	N-glycosylation	-0.0372851479083206	0.406116373066727
ENSG00000086598	TMED2	TMED2	turquoise	0.832283226559696	N-glycosylation	-0.0617504404480484	0.0608850080337926
ENSG00000170881	RNF139	RNF139	turquoise	0.831806066651705	N-glycosylation	6.13288473796615e-06	0.999887500353904
ENSG00000151092	NGLY1	NGLY1	turquoise	0.829300382011515	N-glycosylation	0.0071520166960567	0.872237546841519
ENSG00000101901	ALG13	ALG13	turquoise	0.821767281400317	N-glycosylation	-0.0947241938524411	0.00635507646275906
ENSG00000161013	MGAT4B	MGAT4B	turquoise	0.819188017779911	N-glycosylation	0.038879005928546	0.252462229570181
ENSG00000134265	NAPG	NAPG	turquoise	0.818903577449784	N-glycosylation	-0.112817514998601	0.0248914195841626
ENSG00000198898	CAPZA2	CAPZA2	turquoise	0.815403285013164	N-glycosylation	0.000919839186217352	0.986139367474745
ENSG00000095139	ARCN1	ARCN1	turquoise	0.814274232326973	N-glycosylation	-0.0519605086786065	0.0507417982021172
ENSG00000100934	SEC23A	SEC23A	turquoise	0.813508060845548	N-glycosylation	-0.105234747355681	0.0279116844041448
ENSG00000114354	TFG	TFG	turquoise	0.812953427227866	N-glycosylation	-0.0450141075512643	0.151800851447442
ENSG00000134109	EDEM1	EDEM1	turquoise	0.812286088139616	N-glycosylation	-0.0589130491602499	0.215011870576562
ENSG00000179085	DPM3	DPM3	turquoise	0.806272266299009	N-glycosylation	0.000552023809778338	0.994494861001743
ENSG00000105669	COPE	COPE	turquoise	0.805097975105911	N-glycosylation	-0.018596001937947	0.74726790686636
ENSG00000100528	CNIH1	CNIH1	turquoise	0.801879307663703	N-glycosylation	-0.0820429369647982	0.061206948381023
ENSG00000113615	SEC24A	SEC24A	turquoise	0.801619129476285	N-glycosylation	-0.00134420294910649	0.983514141567398
ENSG00000162191	UBXN1	UBXN1	turquoise	0.801308289794336	N-glycosylation	0.0511901658391015	0.111823305095606
ENSG00000164597	COG5	COG5	turquoise	0.798211605728137	N-glycosylation	-0.0783107548329658	0.0632592502523883
ENSG00000136986	DERL1	DERL1	turquoise	0.796078350761715	N-glycosylation	-0.00487099360103936	0.907464805734816
