fromNode	toNode	weight	direction	fromAltName	toAltName
ENSG00000174684	ENSG00000127824	0.336339662421561	undirected	B4GAT1	TUBA4A
ENSG00000174684	ENSG00000073969	0.326630328141395	undirected	B4GAT1	NSF
ENSG00000174684	ENSG00000125814	0.304993319565686	undirected	B4GAT1	NAPB
ENSG00000174684	ENSG00000158560	0.306539744871825	undirected	B4GAT1	DYNC1I1
ENSG00000174684	ENSG00000105402	0.310404755983157	undirected	B4GAT1	NAPA
ENSG00000174684	ENSG00000181789	0.315936694351581	undirected	B4GAT1	COPG1
ENSG00000174684	ENSG00000004059	0.313552732455943	undirected	B4GAT1	ARF5
ENSG00000174684	ENSG00000197694	0.312752534674897	undirected	B4GAT1	SPTAN1
ENSG00000174684	ENSG00000134287	0.30467194094926	undirected	B4GAT1	ARF3
ENSG00000174684	ENSG00000104723	0.286546330545908	undirected	B4GAT1	TUSC3
ENSG00000174684	ENSG00000117069	0.277850330180708	undirected	B4GAT1	ST6GALNAC5
ENSG00000174684	ENSG00000176383	0.278561424551959	undirected	B4GAT1	B3GNT4
ENSG00000174684	ENSG00000133424	0.2778971544717	undirected	B4GAT1	LARGE1
ENSG00000174684	ENSG00000175203	0.30931510490478	undirected	B4GAT1	DCTN2
ENSG00000174684	ENSG00000185274	0.226859060062134	undirected	B4GAT1	GALNT17
ENSG00000174684	ENSG00000137267	0.33123065914633	undirected	B4GAT1	TUBB2A
ENSG00000174684	ENSG00000188229	0.336246227596503	undirected	B4GAT1	TUBB4B
ENSG00000174684	ENSG00000173898	0.224831198791641	undirected	B4GAT1	SPTBN2
ENSG00000174684	ENSG00000111726	0.257976464667001	undirected	B4GAT1	CMAS
ENSG00000174684	ENSG00000137100	0.313410654985614	undirected	B4GAT1	DCTN3
ENSG00000174684	ENSG00000177511	0.266267494292816	undirected	B4GAT1	ST8SIA3
ENSG00000174684	ENSG00000123416	0.30327944802592	undirected	B4GAT1	TUBA1B
ENSG00000174684	ENSG00000166685	0.308238718962441	undirected	B4GAT1	COG1
ENSG00000174684	ENSG00000143786	0.303966050021883	undirected	B4GAT1	CNIH3
ENSG00000174684	ENSG00000102158	0.274091185973024	undirected	B4GAT1	MAGT1
ENSG00000174684	ENSG00000104833	0.30659186365949	undirected	B4GAT1	TUBB4A
ENSG00000174684	ENSG00000155511	0.263115649317863	undirected	B4GAT1	GRIA1
ENSG00000174684	ENSG00000117643	0.285532769263785	undirected	B4GAT1	MAN1C1
ENSG00000174684	ENSG00000135720	0.310752817268013	undirected	B4GAT1	DYNC1LI2
ENSG00000174684	ENSG00000005243	0.259047724444341	undirected	B4GAT1	COPZ2
ENSG00000174684	ENSG00000101638	0.248885996879909	undirected	B4GAT1	ST8SIA5
ENSG00000174684	ENSG00000070182	0.275872149191236	undirected	B4GAT1	SPTB
ENSG00000174684	ENSG00000082684	0.289933726837233	undirected	B4GAT1	SEMA5B
ENSG00000174684	ENSG00000204843	0.287966325022542	undirected	B4GAT1	DCTN1
ENSG00000174684	ENSG00000107862	0.267630940563476	undirected	B4GAT1	GBF1
ENSG00000174684	ENSG00000164574	0.254785315244291	undirected	B4GAT1	GALNT10
ENSG00000174684	ENSG00000143761	0.235645476742856	undirected	B4GAT1	ARF1
ENSG00000174684	ENSG00000144647	0.282025198426091	undirected	B4GAT1	POMGNT2
ENSG00000174684	ENSG00000204386	0.279175832901273	undirected	B4GAT1	NEU1
ENSG00000127824	ENSG00000073969	0.33540082097434	undirected	TUBA4A	NSF
ENSG00000127824	ENSG00000125814	0.313114755602984	undirected	TUBA4A	NAPB
ENSG00000127824	ENSG00000158560	0.312857153341737	undirected	TUBA4A	DYNC1I1
ENSG00000127824	ENSG00000105402	0.297991656939798	undirected	TUBA4A	NAPA
ENSG00000127824	ENSG00000181789	0.308048659976636	undirected	TUBA4A	COPG1
ENSG00000127824	ENSG00000004059	0.304435001877216	undirected	TUBA4A	ARF5
ENSG00000127824	ENSG00000197694	0.296400141054044	undirected	TUBA4A	SPTAN1
ENSG00000127824	ENSG00000134287	0.292793926989525	undirected	TUBA4A	ARF3
ENSG00000127824	ENSG00000104723	0.295678405061545	undirected	TUBA4A	TUSC3
ENSG00000127824	ENSG00000117069	0.270064876562475	undirected	TUBA4A	ST6GALNAC5
ENSG00000127824	ENSG00000176383	0.26405069954775	undirected	TUBA4A	B3GNT4
ENSG00000127824	ENSG00000133424	0.267172618693592	undirected	TUBA4A	LARGE1
ENSG00000127824	ENSG00000175203	0.298523427779044	undirected	TUBA4A	DCTN2
ENSG00000127824	ENSG00000185274	0.211962159982781	undirected	TUBA4A	GALNT17
ENSG00000127824	ENSG00000137267	0.325537149721272	undirected	TUBA4A	TUBB2A
ENSG00000127824	ENSG00000188229	0.331726203385798	undirected	TUBA4A	TUBB4B
ENSG00000127824	ENSG00000173898	0.207482934507933	undirected	TUBA4A	SPTBN2
ENSG00000127824	ENSG00000111726	0.262901535381245	undirected	TUBA4A	CMAS
ENSG00000127824	ENSG00000137100	0.299640928316185	undirected	TUBA4A	DCTN3
ENSG00000127824	ENSG00000177511	0.257918262827935	undirected	TUBA4A	ST8SIA3
ENSG00000127824	ENSG00000123416	0.293273583739931	undirected	TUBA4A	TUBA1B
ENSG00000127824	ENSG00000166685	0.29458025175704	undirected	TUBA4A	COG1
ENSG00000127824	ENSG00000143786	0.294456105373287	undirected	TUBA4A	CNIH3
ENSG00000127824	ENSG00000102158	0.257077990954213	undirected	TUBA4A	MAGT1
ENSG00000127824	ENSG00000104833	0.293187251627477	undirected	TUBA4A	TUBB4A
ENSG00000127824	ENSG00000155511	0.25465443486783	undirected	TUBA4A	GRIA1
ENSG00000127824	ENSG00000117643	0.274692619053613	undirected	TUBA4A	MAN1C1
ENSG00000127824	ENSG00000135720	0.304195733294771	undirected	TUBA4A	DYNC1LI2
ENSG00000127824	ENSG00000005243	0.250321598432456	undirected	TUBA4A	COPZ2
ENSG00000127824	ENSG00000101638	0.233530284718286	undirected	TUBA4A	ST8SIA5
ENSG00000127824	ENSG00000070182	0.254291896741771	undirected	TUBA4A	SPTB
ENSG00000127824	ENSG00000082684	0.274851503415967	undirected	TUBA4A	SEMA5B
ENSG00000127824	ENSG00000204843	0.266961822097342	undirected	TUBA4A	DCTN1
ENSG00000127824	ENSG00000107862	0.249557902291007	undirected	TUBA4A	GBF1
ENSG00000127824	ENSG00000164574	0.240897983820123	undirected	TUBA4A	GALNT10
ENSG00000127824	ENSG00000143761	0.224163677799043	undirected	TUBA4A	ARF1
ENSG00000127824	ENSG00000144647	0.264744997323659	undirected	TUBA4A	POMGNT2
ENSG00000127824	ENSG00000204386	0.268167428590788	undirected	TUBA4A	NEU1
ENSG00000073969	ENSG00000125814	0.361453722111411	undirected	NSF	NAPB
ENSG00000073969	ENSG00000158560	0.351672591700934	undirected	NSF	DYNC1I1
ENSG00000073969	ENSG00000105402	0.290802888867578	undirected	NSF	NAPA
ENSG00000073969	ENSG00000181789	0.331328361659113	undirected	NSF	COPG1
ENSG00000073969	ENSG00000004059	0.291643384119776	undirected	NSF	ARF5
ENSG00000073969	ENSG00000197694	0.278088094327535	undirected	NSF	SPTAN1
ENSG00000073969	ENSG00000134287	0.285064013325708	undirected	NSF	ARF3
ENSG00000073969	ENSG00000104723	0.346248130936588	undirected	NSF	TUSC3
ENSG00000073969	ENSG00000117069	0.358529461718763	undirected	NSF	ST6GALNAC5
ENSG00000073969	ENSG00000176383	0.247387577457026	undirected	NSF	B3GNT4
ENSG00000073969	ENSG00000133424	0.332804248086179	undirected	NSF	LARGE1
ENSG00000073969	ENSG00000175203	0.302104768747448	undirected	NSF	DCTN2
ENSG00000073969	ENSG00000185274	0.189500484028586	undirected	NSF	GALNT17
ENSG00000073969	ENSG00000137267	0.301621337466152	undirected	NSF	TUBB2A
ENSG00000073969	ENSG00000188229	0.311926139128371	undirected	NSF	TUBB4B
ENSG00000073969	ENSG00000173898	0.181349441718751	undirected	NSF	SPTBN2
ENSG00000073969	ENSG00000111726	0.34638870876927	undirected	NSF	CMAS
ENSG00000073969	ENSG00000137100	0.286650602958081	undirected	NSF	DCTN3
ENSG00000073969	ENSG00000177511	0.35411057954011	undirected	NSF	ST8SIA3
ENSG00000073969	ENSG00000123416	0.308228245406242	undirected	NSF	TUBA1B
ENSG00000073969	ENSG00000166685	0.307769504717224	undirected	NSF	COG1
ENSG00000073969	ENSG00000143786	0.348672989711817	undirected	NSF	CNIH3
ENSG00000073969	ENSG00000102158	0.284065263445767	undirected	NSF	MAGT1
ENSG00000073969	ENSG00000104833	0.255072195069431	undirected	NSF	TUBB4A
ENSG00000073969	ENSG00000155511	0.357680366213645	undirected	NSF	GRIA1
ENSG00000073969	ENSG00000117643	0.301934176111725	undirected	NSF	MAN1C1
ENSG00000073969	ENSG00000135720	0.271469640749795	undirected	NSF	DYNC1LI2
ENSG00000073969	ENSG00000005243	0.339302770557191	undirected	NSF	COPZ2
ENSG00000073969	ENSG00000101638	0.254372569292786	undirected	NSF	ST8SIA5
ENSG00000073969	ENSG00000070182	0.252435380775569	undirected	NSF	SPTB
ENSG00000073969	ENSG00000082684	0.261886897645406	undirected	NSF	SEMA5B
ENSG00000073969	ENSG00000204843	0.253154660536348	undirected	NSF	DCTN1
ENSG00000073969	ENSG00000107862	0.201167722663744	undirected	NSF	GBF1
ENSG00000073969	ENSG00000164574	0.250828037031254	undirected	NSF	GALNT10
ENSG00000073969	ENSG00000143761	0.189049074149346	undirected	NSF	ARF1
ENSG00000073969	ENSG00000144647	0.25873038799455	undirected	NSF	POMGNT2
ENSG00000073969	ENSG00000204386	0.265582475915358	undirected	NSF	NEU1
ENSG00000125814	ENSG00000158560	0.328591825929084	undirected	NAPB	DYNC1I1
ENSG00000125814	ENSG00000105402	0.263490002850446	undirected	NAPB	NAPA
ENSG00000125814	ENSG00000181789	0.307575269840307	undirected	NAPB	COPG1
ENSG00000125814	ENSG00000004059	0.270525784316379	undirected	NAPB	ARF5
ENSG00000125814	ENSG00000197694	0.262646019528155	undirected	NAPB	SPTAN1
ENSG00000125814	ENSG00000134287	0.271523420850699	undirected	NAPB	ARF3
ENSG00000125814	ENSG00000104723	0.328105956031828	undirected	NAPB	TUSC3
ENSG00000125814	ENSG00000117069	0.339475149530264	undirected	NAPB	ST6GALNAC5
ENSG00000125814	ENSG00000176383	0.236516740235331	undirected	NAPB	B3GNT4
ENSG00000125814	ENSG00000133424	0.302397984747576	undirected	NAPB	LARGE1
ENSG00000125814	ENSG00000175203	0.271549138601837	undirected	NAPB	DCTN2
ENSG00000125814	ENSG00000185274	0.185603865247243	undirected	NAPB	GALNT17
ENSG00000125814	ENSG00000137267	0.280956495493217	undirected	NAPB	TUBB2A
ENSG00000125814	ENSG00000188229	0.285152599686896	undirected	NAPB	TUBB4B
ENSG00000125814	ENSG00000173898	0.177143679930683	undirected	NAPB	SPTBN2
ENSG00000125814	ENSG00000111726	0.320522288457273	undirected	NAPB	CMAS
ENSG00000125814	ENSG00000137100	0.257439485434155	undirected	NAPB	DCTN3
ENSG00000125814	ENSG00000177511	0.341153250872645	undirected	NAPB	ST8SIA3
ENSG00000125814	ENSG00000123416	0.275493390605672	undirected	NAPB	TUBA1B
ENSG00000125814	ENSG00000166685	0.286559456484074	undirected	NAPB	COG1
ENSG00000125814	ENSG00000143786	0.3334369938892	undirected	NAPB	CNIH3
ENSG00000125814	ENSG00000102158	0.273796599181325	undirected	NAPB	MAGT1
ENSG00000125814	ENSG00000104833	0.236600333926729	undirected	NAPB	TUBB4A
ENSG00000125814	ENSG00000155511	0.341240968876593	undirected	NAPB	GRIA1
ENSG00000125814	ENSG00000117643	0.286113143496618	undirected	NAPB	MAN1C1
ENSG00000125814	ENSG00000135720	0.254497444559847	undirected	NAPB	DYNC1LI2
ENSG00000125814	ENSG00000005243	0.31827375433274	undirected	NAPB	COPZ2
ENSG00000125814	ENSG00000101638	0.247133839415097	undirected	NAPB	ST8SIA5
ENSG00000125814	ENSG00000070182	0.232297340031207	undirected	NAPB	SPTB
