nodeName	altName	symbol	color	geneModuleMembership	glycoType	logFC	padj
ENSG00000174684	B4GAT1	B4GAT1	blue	0.950588953929485	O-glycosylation	-0.173803813488023	0.00355668625363941
ENSG00000127824	TUBA4A	TUBA4A	blue	0.931051717517449	N-glycosylation	-0.190244078348969	0.0352192825993701
ENSG00000073969	NSF	NSF	blue	0.920094689901292	N-glycosylation	-0.251310980483859	0.00304995847975845
ENSG00000125814	NAPB	NAPB	blue	0.912690071267165	N-glycosylation	-0.226290852766827	0.00215481582887982
ENSG00000158560	DYNC1I1	DYNC1I1	blue	0.904241932214804	N-glycosylation	-0.221087348852485	0.00367474582810986
ENSG00000105402	NAPA	NAPA	blue	0.904138527726978	N-glycosylation	-0.196541322892562	0.000648779044603872
ENSG00000181789	COPG1	COPG1	blue	0.901211649154812	N-glycosylation	-0.119582853498762	0.0104903260684848
ENSG00000004059	ARF5	ARF5	blue	0.898141586717783	N-glycosylation	-0.182126844259554	0.00122775992202116
ENSG00000197694	SPTAN1	SPTAN1	blue	0.891723458935977	N-glycosylation	-0.0953020539630945	0.012761455919846
ENSG00000134287	ARF3	ARF3	blue	0.880552125378239	N-glycosylation	-0.121625320223749	0.00131999238996081
ENSG00000104723	TUSC3	TUSC3	blue	0.877507900357129	N-glycosylation	-0.246163315806009	0.000390501169118037
ENSG00000117069	ST6GALNAC5	ST6GALNAC5	blue	0.871460364104772	N-glycosylation	-0.239209264555567	0.00208897890693175
ENSG00000176383	B3GNT4	B3GNT4	blue	0.867967035801591	O-glycosylation	-0.139577501585596	0.0509463891141353
ENSG00000133424	LARGE1	LARGE1	blue	0.862213611276843	O-glycosylation	-0.149656248531362	0.00940552630896915
ENSG00000175203	DCTN2	DCTN2	blue	0.857734000755941	N-glycosylation	-0.0877903726697989	0.0352830381720521
ENSG00000185274	GALNT17	GALNT17	blue	0.856765059473939	O-glycosylation	-0.191049575091967	0.0022606543006176
ENSG00000137267	TUBB2A	TUBB2A	blue	0.855783552237506	N-glycosylation	-0.231227913119002	0.00170853590706284
ENSG00000188229	TUBB4B	TUBB4B	blue	0.855194779270231	N-glycosylation	-0.14650438236987	0.010115477319937
ENSG00000173898	SPTBN2	SPTBN2	blue	0.846534721741863	N-glycosylation	-0.159393347436278	0.00499511341018497
ENSG00000111726	CMAS	CMAS	blue	0.841377373875569	N-glycosylation	-0.128968822807783	0.00532241283171782
ENSG00000137100	DCTN3	DCTN3	blue	0.837035848796549	N-glycosylation	-0.116828614583857	0.0046023509935873
ENSG00000177511	ST8SIA3	ST8SIA3	blue	0.831507662730363	N-glycosylation	-0.17278008108636	0.00374649889472305
ENSG00000123416	TUBA1B	TUBA1B	blue	0.827825266631667	N-glycosylation	-0.219411082255498	0.0119473266809923
ENSG00000166685	COG1	COG1	blue	0.825902997478515	N-glycosylation	-0.203136336803595	2.42391892420758e-05
ENSG00000143786	CNIH3	CNIH3	blue	0.824052177562145	N-glycosylation	-0.094346129659928	0.0671437939157074
ENSG00000102158	MAGT1	MAGT1	blue	0.815782308674424	N-glycosylation	0.0179842070054287	0.833250423140853
ENSG00000104833	TUBB4A	TUBB4A	blue	0.813063437846034	N-glycosylation	-0.246594455263563	0.010228298408304
ENSG00000155511	GRIA1	GRIA1	blue	0.800832058821973	N-glycosylation	-0.12645971116727	0.0113026829794341
ENSG00000117643	MAN1C1	MAN1C1	blue	0.787064179233276	N-glycosylation	-0.0811511229978243	0.0575974177147785
ENSG00000135720	DYNC1LI2	DYNC1LI2	blue	0.78567378506195	N-glycosylation	0.179947553740875	0.00329062537352628
ENSG00000005243	COPZ2	COPZ2	blue	0.784846908898762	N-glycosylation	0.216473047564686	0.00110257849685165
ENSG00000101638	ST8SIA5	ST8SIA5	blue	0.78045550625261	N-glycosylation	-0.1352382097394	0.011567007706967
ENSG00000070182	SPTB	SPTB	blue	0.774422989274844	N-glycosylation	-0.261197217878946	0.000133741248292066
ENSG00000082684	SEMA5B	SEMA5B	blue	0.773056661037465	O-glycosylation	-0.19874694939961	0.0024164242787281
ENSG00000204843	DCTN1	DCTN1	blue	0.771936413058217	N-glycosylation	-0.143639817126756	0.00733222568820145
ENSG00000107862	GBF1	GBF1	blue	0.76685093619559	N-glycosylation	-0.074106947352739	0.0127665693872986
ENSG00000164574	GALNT10	GALNT10	blue	0.764553369104126	O-glycosylation	0.12008536518228	0.0431454807663896
ENSG00000143761	ARF1	ARF1	blue	0.760678955868827	N-glycosylation	-0.0939704099241464	0.00315023532016089
ENSG00000144647	POMGNT2	POMGNT2	blue	0.753548196656052	O-glycosylation	-0.0588055751248895	0.215292030376056
ENSG00000204386	NEU1	NEU1	blue	0.750702212063733	N-glycosylation	-0.0651378975288053	0.0392648497449143
